Teddy Archibald, Half&Half, Red, March, no
Peter Van Beever, Latte, Purple,February, yes
Tim Linkous, water, Green, September, no
Qian Wang, Water, Blue, October, no
Diptika Devi,Tea, Orange, June, no
Ian Gordon, water, green, april, yes
Tim Nguyen, Bubble Tea, White, November,yes
Bryan Smith, water, brown, May, no
Jonathan Diehl, Coffee, Green, February,Yes
Jared Thacker, water, green, December, yes
Robbie Niemeyer, Water, Blue, January, No
Mohammed N., snapple, green, august, no
Josue Castro, coffee, blue, june, yes
Corey Ross, Water, Black, October, No
Will Chapman, Water, Purple, December, No
